iter	Passed	Remaining
0	117	11644
1	119	5857
2	121	3925
3	123	2971
4	125	2389
5	127	1999
6	130	1728
7	132	1523
8	134	1359
9	136	1231
10	138	1123
11	140	1033
12	142	956
13	145	895
14	148	842
15	151	797
16	154	751
17	156	712
18	158	676
19	160	642
20	163	613
21	165	587
22	167	561
23	169	537
24	172	516
25	174	496
26	176	477
27	179	460
28	181	443
29	183	428
30	185	413
31	188	401
32	191	388
33	193	375
34	195	363
35	198	353
36	201	342
37	203	332
38	206	322
39	208	313
40	211	304
41	213	295
42	216	286
43	218	278
44	221	270
45	224	263
46	226	255
47	228	248
48	231	241
49	234	234
50	237	228
51	240	221
52	242	215
53	245	209
54	248	203
55	252	198
56	255	192
57	258	187
58	261	181
59	263	175
60	267	170
61	270	165
62	273	160
63	276	155
64	279	150
65	283	145
66	286	141
67	289	136
68	292	131
69	295	126
70	300	122
71	303	117
72	306	113
73	309	108
74	314	104
75	319	100
76	322	96
77	326	92
78	330	87
79	335	83
80	340	79
81	345	75
82	349	71
83	354	67
84	360	63
85	365	59
86	369	55
87	375	51
88	381	47
89	386	42
90	392	38
91	398	34
92	404	30
93	413	26
94	421	22
95	430	17
96	439	13
97	447	9
98	455	4
99	463	0
